,Hop,Origin,Description,Alpha Acid_lpct,Alpha Acid_upct,Beta Acid_lpct,Beta Acid_upct,Myrcene_lpct,Myrcene_upct,Farnesene_lpct,Farnesene_upct,Geraniol_lpct,Geraniol_upct,Caryophyllene_lpct,Caryophyllene_upct,Humulene_lpct,Humulene_upct,Co-humulone_lpct,Co-humulone_upct,Linalool_lpct,Linalool_upct,B-Pinene_lpct,B-Pinene_upct,total_lpct,total_upct
58,Mosaic®,United States,"Developed by Hop Breeding Company and released in 2012, Mosaic® Brand HBC 369 contains high alpha content and features a unique and complex aroma profile that translates favorably into a variety of beer styles. It is a daughter of Simcoe® Brand YCR 14 and a Nugget derived male. Mosaic®  is named in honor of the artistic assortment of aromas and flavors it is capable of presenting.",10.5,14.0,3.0,4.5,48.0,55.0,0.0,1.0,0.5,0.9,3.0,8.0,10.0,15.0,21.0,25.0,0.4,0.8,0.6,1.0,0.8,3.0
59,Motueka,New Zealand,"Bred as part of the Hops with a Difference programme, Motueka is an excellent hop in many applications from first kettle additions through late gifting. This hop offers a unique aroma and flavour profile suitable for producing bigger styles. Excellent when employed in multiple additions from a single hop bill and sits well on the palate to balance specialty malt sweetness. It is an excellent variety for a wide range of styles from Saison through to Pilsners. It is extremely versatile in the brewery.",6.5,7.5,5.0,5.5,47.0,49.0,12.1,12.3,0.0,0.0,1.0,3.0,3.5,3.7,28.0,30.0,0.5425393830802608,0.7107645647080604,0.5297851665355268,0.6887137277259997,0.7,0.9
60,Mt. Hood,United States,"Bred in 1983 and released from the USDA breeding program in Oregon in 1989, Mt. Hood is a triploid aroma type cultivar with similarities to German Hallertau and German Hersbrucker. It is tolerant to downy mildew with good pickability of medium size, compact cones. Mt. Hood is named after the famous Oregon volcano.",4.0,6.5,4.4,7.2,25.0,35.0,0.0,1.0,0.1,0.5,10.0,16.0,30.0,40.0,21.0,25.0,0.5,0.9,0.4,0.8,0.8,2.0
61,Mt. Rainier,United States,"Bred by Oregon State University, Mt. Rainier is a dual purpose variety with noble aroma characteristics. It is similar to the classic German variety, Hallertau Mittelfrüh, but features more bittering strength.",5.0,7.0,8.0,10.0,50.0,60.0,0.0,1.0,0.2,0.4,6.0,10.0,15.0,20.0,21.0,23.0,0.6,0.9,0.6,0.8,1.5,2.5
62,Nelson Sauvin,New Zealand,"Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 2000, Nelson Sauvin is a triploid variety bred from the New Zealand Smoothcone and a selected New Zealand male. It is known for being one of the most unique hop varieties, displaying strong fruit and white wine aroma characteristics.",12.0,13.0,6.0,8.0,22.0,23.0,0.0,1.0,0.0,0.0,10.7,10.7,36.4,36.4,23.0,25.0,0.3189654106105526,0.44894844059543887,0.22835850351782813,0.3605031146360798,1.1,1.1
63,Newport,United States,"Bred in 1992 by Oregon State University and released in 1992 through the USDA, Newport is a descendant of the classic bittering variety, Magnum. It offers high alpha acid, co-humulone and myrcene content, offering more distinct aroma characteristics than its parent. Newport is resistant to downy mildew and powdery mildew and has good pickability of medium to large size, loose cones.",10.0,12.5,5.5,6.5,45.0,55.0,0.0,1.0,0.2,0.2,7.0,11.0,15.0,20.0,36.0,38.0,0.3,0.7,0.6,0.9,1.6,2.5
64,Northdown,United Kingdom,"An excellent dual purpose hop that works well on its own, or in conjunction with an aroma variety.",7.5,9.5,5.0,5.5,23.0,29.0,0.0,1.0,0.0,0.0,13.0,17.0,40.0,45.0,24.0,30.0,0.3956926827998671,0.6687429702421225,0.24060293662772475,0.514951390197064,1.5,2.5
65,Northern Brewer,United States,"Bred in England in 1934 from a Canterbury Golding plant and male seedling of Brewer's Gold, Northern Brewer is mainly grown in the United States and Germany. US Northern Brewer  contains slightly higher alpha acids and high myrcene oil content resulting in herbal, wood and peppery aroma characteristics; it is suitable for any stage of the brewing process.",7.0,10.0,3.5,5.5,35.0,45.0,0.0,1.0,0.1,0.2,11.0,15.0,27.0,31.0,30.0,34.0,0.4,0.8,0.4,0.7,1.0,2.0
66,Northern Brewer,Germany,"Originally bred in England in 1934, Northern Brewer is a cross between Canterbury Golding and a male seedling of Brewer's Gold. It was originally grown in the North of England, but has become one of the main varieties in the Hallertau region of Germany. Northern Brewer displays pleasant pine and mint characteristics in dual purpose brewing applications.",6.0,10.0,3.0,5.0,25.0,45.0,0.0,1.0,0.0,0.0,10.0,20.0,35.0,50.0,27.0,32.0,0.3,0.8,0.3153633712950283,0.77746965766237,1.0,1.6
67,Nugget,United States,"Nugget can be used as a bittering hop. It has pleasant, mild, herbal aromas.",13.5,16.0,4.4,5.5,40.0,50.0,0.0,1.0,0.1,0.1,9.0,11.0,18.0,22.0,22.0,26.0,0.8,1.0,0.4,0.8,1.0,3.0
68,Nugget,Germany,"Developed through the USDA program at Oregon State University, Nugget is a high alpha variety that is tolerant to a range of soil conditions, generally producing a high yield.",11.5,14.0,3.0,5.0,27.0,42.0,0.0,1.0,0.0,0.0,7.0,10.0,16.0,19.0,22.0,30.0,0.2950561730108337,0.5909624208253038,0.34220309074287497,0.7135336681825221,0.9,1.3
69,Opal,Germany,"Developed at the Hüll Research Center, Opal exhibits excellent aroma characteristics combined with a respectable alpha acid level.",5.0,8.0,3.5,5.5,20.0,45.0,0.0,1.0,0.0,0.0,8.0,15.0,30.0,50.0,13.0,17.0,0.4434774486836882,0.9907929476538194,0.27665797010452753,0.6988184764434546,0.8,1.3
70,Pacific Gem,New Zealand,"A triploid alpha type developed through the New Zealand Hop breeding program, Pacific Gem fills the brew house with enticing aromas during kettle addition and has been described as producing oaken flavors with a distinct blackberry aroma. It is typically used as a first hop addition and makes its presence felt through an excellent tempered bitterness and flavor while later additions deliver citrus and pine aroma notes. Pacific Gem is a good all purpose hop  that delivers quality bitterness along with flavor and aromas. It is excellent in international lagers and can also be used in IPA’s and other big styles.",13.0,15.0,7.0,9.0,32.0,34.0,0.0,1.0,0.0,0.0,10.0,12.0,29.8,30.0,36.0,38.0,0.33936320384474483,0.4824287930169492,0.35387614468191847,0.5891056011455964,1.1,1.3
71,Pacific Jade,New Zealand,"Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 2004, Pacific Jade is a cross of New Zealand First Choice (a relative of the Late Cluster) and a Saaz male. It is suited for use as a bittering hop but also delivers bold citrus and spice aroma characteristics.",12.0,14.0,7.0,8.0,33.0,34.0,0.0,1.0,0.0,0.0,10.2,10.2,32.9,32.9,23.0,25.0,0.4183911159044748,0.5699884667902648,0.3572119240023138,0.4880510531591966,1.4,1.4
72,Pacifica,New Zealand,"A triploid aroma type developed through the HortResearch, New Zealand Hop Breeding programme, Pacifica brings something of a blend of new and old-world taste descriptors to the brewers' forum. It is ideally suited to traditional German lager styles but is finding wider application to a new generation through the international craft market's insatiable thirst for Pale Ale.",5.0,6.0,5.9,6.1,12.0,13.0,0.0,1.0,0.0,0.0,16.6,16.8,50.8,51.0,24.0,26.0,0.3578518484859496,0.5131625467088902,0.09368409954112958,0.25439452856842554,0.9,1.1
73,Palisade®,United States,"Developed by Select Botanicals Group, Palisade® Brand YCR 4 is known for its high yield and unique aroma profile. The variety has low susceptibility to powdery mildew but has good pickability of medium to large cones.",6.5,10.0,5.5,8.0,45.0,52.0,0.0,1.0,0.1,0.5,8.0,16.0,10.0,20.0,26.0,28.0,0.4,0.6,0.6,0.8,0.8,2.0
74,Perle,United States,"Bred at the Hop Research Institute in Hüll and released in 1978, Perle is a cross between Northern Brewer and 63/5/27M. It is tolerant to most diseases and is grown in both Germany and the United States. Perle is known for adding a traditional, German-like quality to beer.",6.0,9.0,3.0,4.5,30.0,45.0,0.0,1.0,0.2,0.4,12.0,16.0,28.0,34.0,28.0,31.0,0.3,0.8,0.3,0.6,0.8,2.0
75,Perle,Germany,Perle is a highly acceptable aroma variety with high yields and good tolerance to most diseases.,4.0,9.0,2.5,4.5,20.0,35.0,0.0,1.0,0.0,0.0,10.0,20.0,35.0,55.0,29.0,35.0,0.3646170002047747,0.8375570086118314,0.2375883417203229,0.6790172763572555,0.5,1.5
76,Phoenix,United Kingdom,"Bred at Wye College and released in 1996, Phoenix is a seedling of Yeoman. In brewing trials, Phoenix has produced excellent results in both bittering and flavor applications. ",8.0,12.0,3.8,4.5,24.0,24.0,1.5,1.5,0.0,0.0,11.0,11.0,30.0,30.0,20.392587018433517,21.32085365395631,0.3404417423322468,0.45341644505149115,0.24949311243603045,0.3723450397581089,1.2,2.5
77,Pilgrim,United Kingdom,"Often compared to UK Target, Pilgrim performs well as a replacement for high alpha or dual purpose hops.",9.0,13.0,4.3,5.0,29.0,31.0,0.0,1.0,0.0,0.0,7.0,8.0,16.9,17.1,36.0,38.0,0.2435302176934788,0.35245214056573065,0.33536961818211,0.5561321464446329,1.2,2.4
78,Pioneer,United Kingdom,Combines a pleasant aroma with a moderately high alpha acid content.,8.5,11.4,3.2,4.9,28.0,42.0,0.0,1.0,0.0,0.0,8.099955268414954,11.777098441341261,16.0,24.0,33.0,40.0,0.28948927450643686,0.6115150019109719,0.3507257871759438,0.7801536702553884,1.5,2.3
79,Polaris,Germany,"Bred at the Hop Research Institute in Hüll and released in 2012, Polaris was commercialized as a new, German variety in response to growing demand from the craft beer industry for distinct flavor profiles. It features extremely high alpha content along with intense mint flavors.",18.0,23.0,4.5,6.0,49.0,51.0,0.0,1.0,0.0,0.0,8.0,13.0,20.0,35.0,22.0,28.0,0.1,0.4,0.5405479306215425,0.8086655882734959,4.0,5.0
80,Premiant,Czech Republic,"Bred from Saaz and released in 1996, Premiant has a relatively high alpha content for Czech varieties. As a result, it has found some application as a dual purpose variety.",7.0,10.0,3.5,5.5,30.0,45.0,1.0,3.0,0.0,0.1,9.0,13.0,25.0,40.0,18.0,23.0,0.4,0.7,0.4,0.7,1.0,2.0
81,Pride of Ringwood,Australia,Bred in 1953 and commercially grown since the 1960s. One of Australia's most known and utilized hop varieties. Predominantly used for early kettle additions.,8.6,10.5,4.4,7.0,24.0,41.0,0.0,1.0,0.0,0.0,9.0,14.0,2.0,4.0,26.0,34.0,0.2002107208847153,0.4666100360203455,0.3046240323766885,0.8666267305348313,1.6,1.8
82,Progress,United Kingdom,"Bred at Wye College in 1951 and released in 1964, Progress is a cross between WGV (Whitbread Golding Variety) and a wild, American male hop. It was originally introduced as an alternative to Fuggle, but showcases a slightly sweeter aroma.",6.0,7.5,2.0,2.7,24.0,28.0,0.0,1.0,0.0,0.0,12.0,15.0,40.0,47.0,25.0,30.0,0.4096697663929059,0.6817412306318343,0.2548128429013032,0.45347981934067355,0.5,0.8
83,Rakau,New Zealand,"Re-released in 2007 from the New Zealand hop breeding program, Rakau is often described as “the whole orchard.” It is often used in New World styles where brash fruity character and big but well constructed bitterness is desired. Rakau performs best when used in combination of late additions and dry hopping.",10.0,11.0,5.0,6.0,56.0,56.0,4.5,4.5,0.0,0.0,5.2,5.2,16.3,16.3,23.0,25.0,0.6284754220151205,0.8102111955279121,0.6309819615479668,0.7110550375476041,2.2,2.2
84,Riwaka,New Zealand,"A triploid aroma type bred during the development of New Zealand Hops “Hops with a Difference” programme, Riwaka is a quintessential New Zealand hop variety. The pure weight of the oil character experienced during selection carries right through to the glass and is a punchy addition to the New World styles of Pales Ale and  New Zealand Pilsners.",4.5,6.5,4.0,5.0,67.0,69.0,0.0,1.0,0.0,0.0,3.9,4.1,8.9,9.1,31.0,33.0,0.6883540049298835,0.9046611090503127,0.7829724652103285,0.8968358606100856,1.4,1.6
85,Saaz,Czech Republic,"The classic ""noble"" aroma hop with long and strong traditions, associated with the renowned pilsner lager.",2.5,4.5,4.0,6.0,26.0,40.0,14.0,20.0,0.0,2.0,6.0,9.0,15.0,30.0,23.0,26.0,0.4,0.6,0.4,0.8,0.4,0.8
86,Santiam,United States,"Released in 1997 by the USDA, Santiam is a triploid selection from Tettnang, Hallertau Mittelfrüh and a cultivar derived from Cascade. It is an American aroma variety with noble hop characteristics.",6.0,8.5,7.0,8.0,15.0,25.0,14.0,18.0,0.0,0.3,6.0,9.0,20.0,30.0,22.0,24.0,0.8,1.2,0.2,0.4,1.0,2.2
87,Saphir,Germany,Saphir is a good aroma variety with a distinct hoppy tang and an average bitter value.,2.0,4.0,4.0,7.0,25.0,40.0,0.0,1.0,0.0,0.0,9.0,14.0,20.0,30.0,12.0,17.0,0.42263921026811546,0.7921265679604566,0.2977609336420603,0.6603427651168094,0.8,1.4
88,Savinjski Golding,Slovenia,"Originating from UK Fuggle, Styrian Savinjski Golding is a traditional Slovenian variety with pleasant bittering and noble aroma characteristics. ",4.5,6.0,2.5,3.5,27.0,33.0,2.0,5.0,0.0,0.0,9.0,11.0,34.0,38.0,25.0,30.0,0.4571648674547032,0.7291414442946783,0.30043344119183407,0.4865022045733061,0.5,1.0
89,Select,Germany,"Bred at the Hop Research Center in Hüll and released in 1993, Select is often referred to as “Spalter Select.” It was bred to be like the Spalt, Tettnang, and Saaz groups.",3.0,6.5,2.4,5.0,20.0,40.0,15.0,22.0,0.0,0.0,4.0,10.0,10.0,22.0,21.0,27.0,1.0,1.5,0.23883114810576603,0.7130777067950225,0.6,0.9
90,Simcoe®,United States,"Developed by Select Botanicals Group and released in 2000, Simcoe® Brand YCR 14 is known for its brewing versatility and unique aroma characteristics. It contains high alpha and low-cohumlone which has found favor in the craft and home brewing industries for dual purpose applications. Simcoe® is moderately tolerant to powdery mildew and has good pickability of a medium size cone.",11.5,15.0,3.0,4.5,40.0,50.0,0.0,1.0,0.8,0.8,8.0,14.0,15.0,20.0,17.0,21.0,0.5,0.9,0.5,1.0,0.8,3.2
91,Smaragd,Germany,"Formerly known as Emerald, Smaragd is a fine aroma variety with high bitter value. This variety shows high yields and good production characteristics.",4.0,6.0,3.5,5.5,20.0,40.0,0.0,1.0,0.0,0.0,9.0,14.0,30.0,50.0,13.0,18.0,0.42949660602701156,0.9345167465769139,0.2571496478959391,0.6315620609132561,0.4,0.8
92,Sorachi Ace,United States,"Developed in Japan in 1984 for Sapporo Breweries, Ltd., Sorachi Ace is a cross between Brewer's Gold, Saaz and Beikei No. 2 male. It is available in limited quantities, however, it remains a popular variety among craft brewers for its unique citrus fruit, herbal and dill aromas.",11.5,14.5,6.0,7.5,45.0,55.0,2.0,5.0,0.1,0.5,7.0,11.0,20.0,26.0,25.0,28.0,0.3,0.5,0.5,0.8,1.5,3.0
93,Southern Cross,New Zealand,"Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 1994, Southern Cross is a triploid cross between New Zealand Smoothcone and a 1950’s research variety bred from a crossing of Californian and English Fuggle. It has excellent essential oils and low co-humulone delivering a delicate balance of citrus and spice when added at the end of boil.",11.0,14.0,5.0,6.0,31.0,32.0,7.3,7.3,0.0,0.0,6.7,6.7,20.8,20.8,25.0,28.0,0.38042418741723005,0.5150197692853361,0.33497043860033665,0.4854002397508506,1.2,1.2
94,Sovereign,United Kingdom,Works well with Goldings and as a single hop.,4.5,6.5,2.1,3.1,20.740954147969273,26.84509711470979,3.5,3.7,0.0,0.0,7.9,8.1,14.427134497150337,16.844835538961675,26.0,30.0,0.2619982918137858,0.4344992886921264,0.23970760098944752,0.49565458343664953,0.6,1.0
95,Spalt,Germany,"A landrace variety originating from the Spalt region in Southern Germany, Spalt (or Spalter) is an aroma variety with characteristics similar to German Tettnang. It belongs to the Saaz group and displays fine, noble characteristics.",2.5,5.5,3.0,5.0,20.0,35.0,12.0,18.0,0.0,0.0,8.0,13.0,20.0,30.0,22.0,29.0,0.5,0.8,0.21700507364715613,0.6473746415069824,0.5,0.9
96,Sterling,United States,"Bred in 1990 and released in 1998, Sterling is an aroma variety with noble hop characteristics. It shows moderate tolerance to powdery mildew and has good pickability of compact cones.",5.5,8.5,4.5,6.0,35.0,45.0,15.0,19.0,0.2,0.2,5.0,8.0,16.0,18.0,22.0,27.0,0.6,0.9,0.3,0.6,1.0,2.0
97,Strisselspalt,France,"Strisselpalt is from the Alsace area of France, near Strasbourg. It is globally accepted as a good aroma hop with similar characteristics to Hersbrucker.",1.8,2.5,4.0,4.7,35.0,52.0,0.0,1.0,0.0,0.0,8.0,10.0,13.0,21.0,20.0,23.0,0.4899495553039363,0.8523308552900669,0.43960578815466306,0.7917103685746316,0.6,0.8
98,Summer,Australia,"Bred in 1997 at Tasmanian Bushy Park Breeding Garden, Summer™ is the result of open pollination of a tetraploid Czech Saaz. It features balanced citrus and stone fruit flavors, but showcases distinct apricot and melon characteristics in dry hopping applications.",5.6,6.4,4.8,6.1,29.0,38.0,0.0,1.0,0.0,0.0,8.0,11.0,28.0,50.0,20.0,25.0,0.2,0.6,0.3297902881830567,0.5951624054602236,1.4,2.0
99,Summit™,United States,"Bred by the American Dwarf Hop Association and released in 2003, Summit™ is a cross between Lexus and an unspecified male derived from numerous hops including Zeus, Nugget and male USDA varieties. It is the first dwarf hop to be bred for production in the United States. Summit™ is mainly used as a bittering hop, but does have earthy aromatic characteristics and subtle hints of citrus.",15.0,17.0,5.0,6.5,30.0,40.0,0.0,1.0,0.1,0.6,12.0,16.0,18.0,22.0,29.0,32.0,0.2,0.4,0.3,0.6,1.5,3.0
100,Super Pride,Australia,Similar to Pride of Ringwood but with higher levels of alpha acids.,12.5,16.3,6.0,8.0,34.0,42.0,0.0,1.0,0.0,0.0,5.0,9.0,1.0,2.0,26.0,29.0,0.23100798636244269,0.3858192318647543,0.4062702734654592,0.7660393720050247,3.4,4.0
101,Sussex,United Kingdom,"Discovered in 2005 at Gate Court, Northiam in East Sussex, Sussex is a “chance find” variety. It is likely to have resulted from open pollination of a wild hop.",4.3,5.8,2.4,3.2,42.0,42.0,0.0,1.0,0.0,0.0,8.536693086723343,10.078997353328006,23.0,23.0,32.0,43.0,0.4577081628056767,0.676974381178543,0.46231275200478045,0.6725815133839379,0.4,0.6
102,Sylva,Australia,"Bred in 1997 at Tasmanian Bushy Park Breeding Garden, Sylva™ is a result of open pollination of Czech Saaz. Brewing characteristics closely resemble that of its parent, with complex yet subtle floral and herbal characteristics.",5.6,7.3,3.0,4.6,26.0,36.0,25.0,25.0,0.0,0.0,5.0,8.0,18.0,27.0,20.0,25.0,0.5939206053799257,0.9398688406999333,0.2655678622849882,0.5542313927307431,1.0,1.4
103,Tahoma,United States,"Released by Washington State University in 2013, Tahoma is one of three new public varieties to come to market. It retains the very low cohumulone characteristic of Glacier but displays slightly high alpha acid content. Tahoma is considered to be ""Cascade-like"" with a pleasant and predominantly citrus aroma profile.",6.0,7.5,7.0,8.0,55.0,65.0,0.0,1.0,0.1,0.1,3.0,5.0,8.0,12.0,15.0,17.0,0.4,0.8,0.8,1.2,1.5,2.0
104,Target,United Kingdom,A flexible hop.,9.5,12.5,4.3,5.7,45.0,55.0,0.0,1.0,0.0,0.0,8.0,10.0,17.0,22.0,35.0,40.0,0.46319881475994273,0.7554413408052522,0.5398204658907376,0.8711262315117466,1.2,1.4
105,Tettnang,United States,"Originating from the traditional landrace variety from Germany, Tettnang is from the Saaz group. It displays fine, noble characteristics with a slight spiciness and is typically used in lager and pilsner style beers. US Tettnang is grown in Washington State and Oregon.",4.0,6.0,2.5,4.0,30.0,40.0,5.0,8.0,0.2,0.4,10.0,14.0,25.0,30.0,25.0,28.0,0.6,0.8,0.3,0.5,0.4,1.0
106,Tettnang,Germany,"A landrace variety originating from the Tettnang region on Lake Constance in Germany, Tettnang (or Tettnanger) is from the Saaz group. It displays fine, noble characteristics with a slight spiciness.",3.0,6.0,3.0,5.0,20.0,35.0,16.0,24.0,0.0,0.0,6.0,11.0,20.0,30.0,22.0,29.0,0.4,0.9,0.2116832987145759,0.61831006219314,0.5,0.9
107,Tomahawk®,United States,"Bred by Chales Zimmermann, Tomahawk® Brand F10 cv. was the first commercially grown “Super Alpha” variety. It is tolerant to downy mildew, but susceptible to powdery mildew and features good pickability of large, compact cones. Tomahawk is often referred to as CTZ, standing for Columbus, Tomahawk®, and Zeus.",15.0,17.5,4.5,6.0,45.0,55.0,0.0,1.0,0.2,0.2,6.0,10.0,9.0,14.0,28.0,30.0,0.4,0.6,0.6,1.0,2.5,4.5
108,Tradition,Germany,"Bred at the Hop Research Institute in Hüll, Germany and registered in 1993, Tradition imparts beer with a harmonic bitterness.",4.0,7.0,3.0,6.0,17.0,32.0,0.0,1.0,0.0,0.0,10.0,15.0,35.0,50.0,24.0,30.0,0.35852335116151823,0.7767182869019067,0.20845243883451073,0.5699200786896965,0.5,1.0
109,Triplepearl,United States,"Released by USDA-ARS in 2013, TriplePearl is an open pollinated cross between a tetraploid Perle female and an unknown diploid male. Its lineage includes Northern Brewer and Hallertau. TriplePearl is similar to Perle but features more pronounced aroma characteristics.",10.3,11.2,3.3,4.2,13.15166994599261,17.605449890967954,0.15931029347449208,0.8200766314075005,0.0,0.0,3.0,5.0,7.0,11.0,9.792602632911539,11.940217427770884,0.09573695732569536,0.210290213623682,0.15395368369947948,0.3215560833216865,1.1,1.8
110,Triskel,France,"Developed in 2006 as a cross between Strisselspalt and Yeoman, Triskel contains many of the same characteristics as Strisselspalt but displays a more pronounced flavor profile.",8.0,9.0,4.0,4.7,59.0,61.0,0.0,1.0,0.0,0.0,6.0,6.2,13.4,13.6,20.0,23.0,0.6377530220880511,0.849772751710438,0.6766669907170194,0.7861466687854777,1.5,2.0
111,Ultra,United States,"Bred by the hops research program in Corvallis, Oregon in 1983 and released in 1995 by the USDA, Ultra is a triploid seedling of Hallertau mf. and half sister to Mt. Hood, Liberty and Crystal. It is resistant to downy mildew and features small size cones. Ultra is related to traditional German varieties and can be utilized in similar applications.",9.2,9.7,3.8,4.0,50.0,60.0,0.0,1.0,0.1,0.5,6.0,9.0,10.0,15.0,23.0,38.0,1.0,1.5,0.6,1.0,1.0,1.5
112,Vanguard,United States,"Bred in 1982 by the USDA and released in 1997, Vanguard is an aroma variety with similar characteristics to Hallertau Mittelfrüh. Vanguard is typically utilized in traditional German-style beers as a noble type variety.",4.5,6.5,5.5,7.0,5.0,15.0,0.0,1.0,0.1,0.2,13.0,17.0,49.0,55.0,18.0,20.0,0.2,0.4,0.1,0.6,0.5,1.0
113,Wai-Iti,New Zealand,"Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 2011, Wai-iti is a granddaughter of Liberty and is derived from 1/3 Hallertau MIttelfrüh. Fresh peaches and stone fruit dominate the aroma in single hopped beers and when combining with other varieties in late additions. Wai-iti is best known for its fruity, aroma-driven results.",2.5,3.5,4.5,5.5,3.0,3.0,12.9,13.1,0.0,0.0,8.9,9.1,27.9,28.1,22.0,24.0,0.25364885819528626,0.346551502412005,-0.016314036607849226,0.14419685051233466,1.6,1.6
114,Waimea,New Zealand,"Released from The New Zealand Institute for Plant & Food Research Limited’s Motueka Research Centre, Waimea is well-suited to dual purpose applications from early kettle additions right through to dry hopping. It exudes quality bitterness and aroma abound with fruity citrus and pine characters from this hop's big weight of oil. A big hop for big beers, it an be used across a wide array of styles in a variety of brewhouse and dry hopping applications.",16.0,19.0,7.0,9.0,59.0,61.0,4.9,5.1,0.0,0.0,2.5,2.7,9.4,9.6,22.0,24.0,0.5766930962712684,0.7539062559488074,0.6775947028738432,0.7904859921956313,2.0,2.2
115,Wakatu,New Zealand,"Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 1988, as Hallertau Aroma, Wakatu was renamed in 2011. It is a triplod variety with two thirds Hallertau Mittelfrüh parentage. Wakatu is a well rounded variety with strong, fresh citrus characteristics and some bittering capabilities.",6.5,8.5,8.4,8.6,35.0,36.0,6.6,6.8,0.0,0.0,8.1,8.3,16.7,16.9,28.0,30.0,0.4316425450301215,0.567190553795968,0.3744032668464237,0.5881303113553408,0.9,1.1
116,Warrior®,United States,"Developed by Select Botanicals Group, Warrior® Brand YCR 5 was selected for its high alpha content, low co-humulone, good storage stability and tolerance to powdery mildew. It is primarily used in brewing for its mild, clean bittering properties and has good pickability of a medium size cone in the field.",15.5,18.0,4.4,6.0,40.0,50.0,0.0,1.0,0.4,0.8,11.0,14.0,15.0,18.0,25.0,28.0,0.4,0.7,0.5,0.7,1.0,2.5
117,Whitbread Golding,United Kingdom,"Developed through grower selection circa 1911, Whitbread Golding (WGV) is not a true Golding. It displays many similar characteristics but has more robust and slightly sweet, hoppy flavor.",5.4,7.7,2.0,3.3,19.0,27.0,1.0,2.0,0.0,0.0,11.0,15.0,35.0,42.0,32.0,43.0,0.3080817850809927,0.6263926457797174,0.20863273717352016,0.5506848271484588,0.8,1.2
118,Willamette,United States,"Released in 1976 from the USDA breeding program, Willamette is a triploid seedling of English Fuggle. For years, it was the most widely grown aroma variety in the US. It is named after Oregon’s Willamette River which runs through the heart of the state’s hop growing region.",4.5,6.5,3.0,4.5,22.0,32.0,7.0,10.0,0.1,0.3,12.0,14.0,31.0,35.0,28.0,32.0,0.4,0.7,0.3,0.5,0.6,1.6
119,Zeus,United States,"Although genetically different, Zeus is often referred to as part of CTZ along with Columbus and Tomahawk®, a trio of similar hops.",14.5,17.5,4.0,5.5,45.0,55.0,0.0,1.0,0.2,0.5,6.0,10.0,9.0,14.0,26.0,31.0,0.4,0.6,0.6,1.0,2.5,4.5
120,Zythos®,United States,"Designed to complement existing IPA and Pale Ale hop varieties, Zythos® is an excellent blend for any hop forward beer.",10.0,12.5,4.7,6.2,26.0399540384932,32.85872410159053,1.5058479862169318,2.472979173649057,0.0,0.0,7.152494926222501,9.243814495260642,15.089618835065352,18.142650248621916,28.0,31.0,0.260618275068427,0.4408146711457673,0.30459728439725553,0.5930382877382263,0.7,1.2
